model,gamma,C,kernel,score
svm_classifier,0.1,10.0,rbf,0.7368421052631579
svm_classifier,0.1,6.951927961775605,rbf,0.7368421052631579
svm_classifier,0.06951927961775606,10.0,rbf,0.7368421052631579
svm_classifier,0.00042813323987193956,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.00029763514416313193,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.023357214690901212,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.0018329807108324356,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.0026366508987303583,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.03359818286283781,4.832930238571752,rbf,0.6842105263157895
svm_classifier,0.023357214690901212,10.0,rbf,0.6842105263157895
svm_classifier,0.03359818286283781,3.359818286283781,rbf,0.6842105263157895
svm_classifier,0.03359818286283781,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.03359818286283781,6.951927961775605,rbf,0.6842105263157895
svm_classifier,0.0018329807108324356,6.951927961775605,poly,0.6842105263157895
svm_classifier,0.0008858667904100823,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.04832930238571752,3.359818286283781,rbf,0.6842105263157895
svm_classifier,0.0006158482110660267,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.04832930238571752,2.3357214690901213,rbf,0.6842105263157895
svm_classifier,0.04832930238571752,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.007847599703514606,0.08858667904100823,poly,0.6842105263157895
svm_classifier,0.0012742749857031334,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.06951927961775606,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.005455594781168515,0.26366508987303583,poly,0.6842105263157895
svm_classifier,0.0001438449888287663,2.3357214690901213,rbf,0.6842105263157895
svm_classifier,0.1,4.832930238571752,rbf,0.6842105263157895
svm_classifier,0.1,3.359818286283781,rbf,0.6842105263157895
svm_classifier,0.005455594781168515,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.1,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.011288378916846883,0.029763514416313176,poly,0.6842105263157895
svm_classifier,0.0001438449888287663,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.03359818286283781,10.0,rbf,0.6842105263157895
svm_classifier,0.0001,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.007847599703514606,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.011288378916846883,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.01623776739188721,0.01,poly,0.6842105263157895
svm_classifier,0.01623776739188721,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.06951927961775606,6.951927961775605,rbf,0.6842105263157895
svm_classifier,0.00020691380811147902,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.00379269019073225,2.3357214690901213,linear,0.6842105263157895
svm_classifier,0.00379269019073225,0.7847599703514611,poly,0.6842105263157895
svm_classifier,0.03359818286283781,0.7847599703514611,rbf,0.631578947368421
svm_classifier,0.03359818286283781,2.3357214690901213,rbf,0.631578947368421
svm_classifier,0.03359818286283781,1.623776739188721,rbf,0.631578947368421
svm_classifier,0.03359818286283781,1.1288378916846884,rbf,0.631578947368421
svm_classifier,0.023357214690901212,6.951927961775605,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.5455594781168517,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.26366508987303583,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.18329807108324356,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.12742749857031335,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.08858667904100823,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.06158482110660264,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.04281332398719394,rbf,0.631578947368421
svm_classifier,0.0018329807108324356,0.0206913808111479,sigmoid,0.631578947368421
svm_classifier,0.0026366508987303583,2.3357214690901213,poly,0.631578947368421
svm_classifier,0.023357214690901212,0.08858667904100823,rbf,0.631578947368421
svm_classifier,0.023357214690901212,0.06158482110660264,rbf,0.631578947368421
svm_classifier,0.023357214690901212,0.04281332398719394,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.01438449888287663,rbf,0.631578947368421
svm_classifier,0.03359818286283781,0.37926901907322497,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.0206913808111479,rbf,0.631578947368421
svm_classifier,0.0008858667904100823,0.04281332398719394,rbf,0.631578947368421
svm_classifier,0.1,1.623776739188721,rbf,0.631578947368421
svm_classifier,0.1,1.1288378916846884,rbf,0.631578947368421
svm_classifier,0.1,0.7847599703514611,rbf,0.631578947368421
svm_classifier,0.06951927961775606,1.623776739188721,rbf,0.631578947368421
svm_classifier,0.1,2.3357214690901213,rbf,0.631578947368421
svm_classifier,0.06951927961775606,2.3357214690901213,rbf,0.631578947368421
svm_classifier,0.06951927961775606,3.359818286283781,rbf,0.631578947368421
svm_classifier,0.04832930238571752,10.0,rbf,0.631578947368421
svm_classifier,0.04832930238571752,6.951927961775605,rbf,0.631578947368421
svm_classifier,0.04832930238571752,4.832930238571752,rbf,0.631578947368421
svm_classifier,0.04832930238571752,1.1288378916846884,rbf,0.631578947368421
svm_classifier,0.04832930238571752,1.623776739188721,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.7847599703514611,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.26366508987303583,rbf,0.631578947368421
svm_classifier,0.06951927961775606,4.832930238571752,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.04281332398719394,rbf,0.631578947368421
