season,round,driver,fastest_time,podium,grid,time
2014,8,bottas,68.846,3,2,74.411
2014,8,massa,68.759,4,1,74.54
2014,8,alonso,69.285,5,4,74.557
2014,8,perez,69.754,6,11,74.697
2014,8,kevin_magnussen,69.515,7,6,74.747
2014,8,ricciardo,69.466,8,5,74.908
2014,8,hulkenberg,69.624,9,10,74.917
2014,8,raikkonen,70.795,10,8,74.968
2014,8,button,69.78,11,12,75.013
2014,8,maldonado,69.939,12,14,75.549
2014,8,sutil,70.825,13,17,75.925
2014,8,grosjean,70.642,14,16,76.422
2014,8,jules_bianchi,71.412,15,19,76.517
2014,8,kobayashi,71.673,16,20,76.98
2014,8,chilton,71.775,17,21,77.011
2014,8,ericsson,72.673,18,22,77.119
2014,8,gutierrez,71.349,19,18,77.123
2014,8,vergne,70.073,20,15,76.169
2014,8,vettel,69.801,21,13,79.474
2014,8,kvyat,69.619,22,7,76.348
2014,9,hamilton,99.232,1,6,99.512
2014,9,bottas,105.318,2,17,100.26
2014,9,ricciardo,100.606,3,8,100.529
2014,9,button,98.2,4,3,100.382
2014,9,vettel,97.386,5,2,100.616
2014,9,alonso,105.935,6,19,101.024
2014,9,kevin_magnussen,98.417,7,5,100.683
2014,9,hulkenberg,98.329,8,4,101.303
2014,9,kvyat,100.707,9,9,101.38
2014,9,vergne,100.855,10,10,102.134
2014,9,perez,100.457,11,7,101.596
2014,9,grosjean,98.496,12,11,102.28
2014,9,sutil,102.603,13,16,102.382
2014,9,jules_bianchi,98.709,14,12,102.986
2014,9,kobayashi,109.625,15,22,104.772
2014,9,chilton,99.8,16,13,103.342
2014,9,maldonado,104.018,17,15,102.896
2014,9,rosberg,95.766,18,1,99.483
2014,9,ericsson,109.421,19,21,109.171
2014,9,gutierrez,100.912,20,14,105.585
2014,10,rosberg,76.54,1,1,83.924
2014,10,bottas,76.759,2,2,84.234
2014,10,hamilton,78.683,3,16,84.26
2014,10,vettel,77.577,4,6,84.581
2014,10,alonso,77.649,5,7,84.707
2014,10,ricciardo,77.273,6,5,84.708
2014,10,hulkenberg,78.014,7,9,84.882
2014,10,button,78.193,8,11,85.188
2014,10,kevin_magnussen,77.214,9,4,85.24
2014,10,perez,78.035,10,10,85.353
2014,10,raikkonen,78.273,11,12,85.48
2014,10,maldonado,80.195,12,19,85.621
2014,10,vergne,78.285,13,13,85.633
2014,10,gutierrez,78.787,14,14,85.729
2014,10,jules_bianchi,79.676,15,18,86.257
2014,10,kobayashi,80.408,16,20,86.914
2014,10,chilton,80.489,17,21,87.1
2014,10,sutil,79.142,19,17,86.392
2014,10,kvyat,77.965,20,8,86.629
2014,10,grosjean,78.983,21,15,88.442
2014,11,ricciardo,83.391,1,4,96.929
2014,11,alonso,83.909,2,5,97.004
2014,11,rosberg,82.715,4,1,97.02
2014,11,massa,84.223,5,6,97.356
2014,11,raikkonen,86.792,6,17,97.379
2014,11,vettel,83.201,7,2,97.515
2014,11,bottas,83.354,8,3,97.52
2014,11,vergne,84.72,9,8,97.766
2014,11,button,84.294,10,7,97.891
2014,11,sutil,85.136,11,12,97.903
2014,11,kevin_magnussen,84.585,12,10,98.05
2014,11,kvyat,84.706,14,11,98.605
2014,11,jules_bianchi,87.419,15,16,99.035
2014,11,chilton,87.819,16,19,99.042
2014,11,gutierrez,85.26,17,14,107.254
2014,11,kobayashi,87.139,18,18,109.468
2014,11,perez,85.211,19,13,108.188
2014,11,hulkenberg,84.775,20,9,117.125
2014,11,grosjean,85.337,21,15,113.574
2014,11,ericsson,88.643,22,20,112.517
2014,12,ricciardo,127.911,1,5,115.376
2014,12,rosberg,125.591,2,1,115.453
2014,12,bottas,128.049,3,6,116.013
2014,12,raikkonen,128.78,4,8,116.213
2014,12,vettel,127.717,5,3,116.563
2014,12,button,129.776,6,10,116.617
2014,12,alonso,127.786,7,4,116.766
2014,12,perez,130.084,8,13,116.837
2014,12,kvyat,129.377,9,11,116.861
2014,12,hulkenberg,131.267,10,18,116.869
2014,12,vergne,129.805,11,12,117.011
2014,12,kevin_magnussen,128.679,12,7,116.61
2014,12,massa,129.178,13,9,117.103
2014,12,sutil,130.238,14,14,117.25
2014,12,gutierrez,133.414,15,20,117.44
2014,12,chilton,132.566,16,19,119.496
2014,12,ericsson,134.438,17,22,119.511
2014,12,jules_bianchi,132.47,18,16,120.957
2014,12,hamilton,125.819,19,2,118.686
2014,12,grosjean,131.087,20,15,119.31
2014,13,hamilton,84.109,1,1,89.627
2014,13,rosberg,84.383,2,2,89.687
2014,13,massa,84.865,3,4,90.099
2014,13,bottas,84.697,4,3,90.397
2014,13,ricciardo,85.709,5,9,90.576
2014,13,vettel,85.436,6,8,90.759
2014,13,perez,85.944,7,10,90.807
2014,13,button,85.379,8,6,90.817
2014,13,raikkonen,86.11,9,12,90.826
2014,13,kevin_magnussen,85.314,10,5,90.781
2014,13,kvyat,86.07,11,11,90.97
2014,13,hulkenberg,86.279,12,14,90.997
2014,13,vergne,86.157,13,13,91.006
2014,13,maldonado,87.52,14,17,91.399
2014,13,sutil,86.588,15,15,91.626
2014,13,grosjean,87.632,16,18,92.091
2014,13,kobayashi,87.671,17,19,92.679
2014,13,jules_bianchi,87.738,18,20,92.931
2014,13,gutierrez,86.692,19,16,93.231
2014,13,ericsson,88.562,20,22,93.444
2014,13,alonso,85.43,21,7,91.759
2014,13,chilton,88.247,22,21,95.338
2014,14,hamilton,105.681,1,1,120.08
2014,14,vettel,105.902,2,4,120.305
2014,14,ricciardo,105.854,3,3,120.318
2014,14,alonso,105.907,4,5,120.336
2014,14,massa,106.0,5,6,120.783
2014,14,vergne,106.989,6,12,120.943
2014,14,perez,107.575,7,15,121.064
2014,14,raikkonen,106.17,8,7,121.091
2014,14,hulkenberg,107.308,9,13,121.108
2014,14,kevin_magnussen,106.25,10,9,121.117
2014,14,bottas,106.187,11,8,121.164
2014,14,maldonado,109.063,12,18,121.195
2014,14,grosjean,107.812,13,16,121.214
2014,14,kvyat,107.362,14,10,121.28
2014,14,ericsson,112.287,15,22,121.65
2014,14,jules_bianchi,109.44,16,19,121.656
2014,14,chilton,110.473,17,21,122.477
2014,14,button,106.943,18,11,121.577
2014,14,sutil,108.324,19,17,123.725
2014,14,gutierrez,107.333,20,14,120.878
2014,14,rosberg,105.688,21,2,120.322
2014,15,hamilton,92.703,1,2,152.341
2014,15,rosberg,92.506,2,1,152.55
2014,15,vettel,94.432,3,9,153.003
2014,15,ricciardo,94.075,4,6,153.224
2014,15,button,94.317,5,8,153.877
2014,15,bottas,93.128,6,3,154.927
2014,15,massa,93.527,7,4,154.958
2014,15,hulkenberg,95.099,8,14,154.977
2014,15,vergne,94.984,9,11,155.242
2014,15,perez,95.089,10,12,155.41
2014,15,kvyat,95.092,11,13,156.01
2014,15,raikkonen,94.548,12,10,156.043
2014,15,gutierrez,95.681,13,16,156.62
2014,15,kevin_magnussen,94.242,14,7,156.792
2014,15,grosjean,95.984,15,18,156.809
2014,15,maldonado,95.917,16,17,156.812
2014,15,ericsson,96.813,17,19,157.452
2014,15,chilton,97.481,18,22,158.518
2014,15,kobayashi,97.015,19,21,159.049
2014,15,jules_bianchi,96.943,20,20,158.393
2014,15,sutil,95.364,21,15,159.438
2014,16,hamilton,98.513,1,1,103.976
2014,16,rosberg,98.713,2,2,104.234
2014,16,bottas,98.92,3,3,104.305
2014,16,button,99.121,4,4,104.547
2014,16,kevin_magnussen,99.629,5,6,104.988
2014,16,alonso,99.709,6,8,105.109
2014,16,ricciardo,99.635,7,7,105.143
2014,16,vettel,100.052,8,11,105.225
2014,16,raikkonen,99.771,9,9,105.465
2014,16,perez,100.163,10,13,105.487
2014,16,massa,103.064,11,18,105.502
2014,16,hulkenberg,100.058,12,12,105.51
2014,16,vergne,100.02,13,10,105.812
2014,16,kvyat,99.277,14,5,106.013
2014,16,gutierrez,100.536,15,14,106.51
2014,16,sutil,100.984,16,15,106.828
2014,16,grosjean,101.397,17,16,106.887
2014,16,maldonado,103.205,18,20,107.419
2014,16,ericsson,102.648,19,17,108.154
2014,16,kobayashi,103.166,20,19,109.543
2014,16,chilton,103.649,21,21,115.919
2014,17,hamilton,96.443,1,2,107.228
2014,17,rosberg,96.067,2,1,107.305
2014,17,ricciardo,97.244,3,5,107.685
2014,17,massa,97.205,4,4,107.709
2014,17,bottas,96.906,5,3,107.782
2014,17,alonso,97.61,6,6,108.929
2014,17,vettel,99.621,7,17,108.938
2014,17,kevin_magnussen,97.706,8,8,109.026
2014,17,maldonado,98.467,9,11,109.065
2014,17,vergne,99.25,10,15,109.083
2014,17,grosjean,99.679,11,18,109.272
2014,17,button,97.655,12,7,109.293
2014,17,raikkonen,97.804,13,9,109.538
2014,17,gutierrez,99.555,14,16,109.558
2014,17,kvyat,98.699,15,14,109.674
2014,17,hulkenberg,98.598,16,13,116.775
2014,18,rosberg,70.023,1,1,76.092
2014,18,hamilton,70.056,2,2,76.113
2014,18,massa,70.247,3,3,76.67
2014,18,button,70.93,4,5,76.778
2014,18,vettel,70.938,5,6,76.817
2014,18,alonso,70.977,6,8,76.964
2014,18,raikkonen,71.099,7,10,76.99
2014,18,hulkenberg,71.976,8,12,76.993
2014,18,kevin_magnussen,70.969,9,7,77.079
2014,18,bottas,70.305,10,4,77.337
2014,18,kvyat,71.423,11,14,77.347
2014,18,maldonado,72.233,12,18,77.433
2014,18,vergne,72.04,13,16,77.448
2014,18,gutierrez,71.591,14,11,77.51
2014,18,perez,72.076,15,17,77.562
2014,18,sutil,72.099,16,13,77.734
2014,18,grosjean,72.037,17,15,77.895
2014,18,ricciardo,71.075,18,9,78.641
2014,19,hamilton,100.866,1,2,108.048
2014,19,massa,101.119,2,4,108.094
2014,19,bottas,101.025,3,3,108.573
2014,19,button,101.964,5,6,109.145
2014,19,hulkenberg,102.384,6,12,109.178
2014,19,perez,102.239,7,11,109.34
2014,19,alonso,102.866,9,8,109.608
2014,19,raikkonen,102.236,10,7,109.644
2014,19,kevin_magnussen,102.198,11,9,109.691
2014,19,vergne,102.207,12,10,109.719
2014,19,grosjean,102.768,13,14,110.23
2014,19,rosberg,100.48,14,1,110.266
2014,19,gutierrez,102.819,15,15,110.295
2014,19,sutil,103.074,16,13,110.605
2014,19,stevens,105.095,17,18,112.03
2014,19,kobayashi,104.54,18,17,111.962
2014,19,maldonado,102.86,19,16,110.982
2014,19,kvyat,101.908,20,5,111.211
2015,1,hamilton,86.327,1,1,95.07
2015,1,rosberg,86.921,2,2,95.094
2015,1,vettel,87.757,3,4,95.665
2015,1,massa,87.718,4,3,95.729
2015,1,nasr,88.8,5,11,96.711
2015,1,ricciardo,88.329,6,7,96.927
2015,1,hulkenberg,89.208,7,14,97.566
2015,1,ericsson,91.376,8,16,97.825
2015,1,sainz,88.51,9,8,97.942
2015,1,perez,89.209,10,15,98.158
2015,1,button,91.422,11,17,98.898
2015,1,raikkonen,87.79,12,5,97.948
2015,1,max_verstappen,88.868,13,12,99.973
2015,2,vettel,109.908,1,2,108.318
2015,2,hamilton,109.834,2,1,108.471
2015,2,rosberg,110.299,3,3,108.538
2015,2,raikkonen,102.173,4,11,109.279
2015,2,bottas,113.179,5,9,109.575
2015,2,massa,112.473,6,7,109.632
2015,2,max_verstappen,111.981,7,6,110.063
2015,2,sainz,103.701,8,15,110.325
2015,2,kvyat,111.951,9,5,110.344
2015,2,ricciardo,111.541,10,4,110.488
2015,2,grosjean,112.981,11,8,110.81
2015,2,nasr,101.308,12,16,110.855
2015,2,perez,103.469,13,14,111.168
2015,2,hulkenberg,103.023,14,13,111.176
2015,2,merhi,106.677,15,19,115.179
2015,2,maldonado,102.198,16,12,111.961
2015,2,button,101.636,17,17,113.991
2015,2,alonso,101.746,18,18,115.537
2015,2,ericsson,113.261,19,10,111.874
2015,3,hamilton,95.782,1,1,106.822
2015,3,rosberg,95.828,2,2,106.834
2015,3,vettel,96.687,3,3,106.875
2015,3,raikkonen,97.232,4,6,106.89
2015,3,massa,96.954,5,4,106.974
2015,3,bottas,97.143,6,5,106.998
2015,3,grosjean,97.905,7,8,107.161
2015,3,nasr,98.067,8,9,107.226
2015,3,ricciardo,97.54,9,7,107.395
2015,3,ericsson,98.158,10,10,108.802
2015,3,perez,99.29,11,15,108.855
2015,3,alonso,99.28,12,18,108.869
2015,3,sainz,98.538,13,14,108.932
2015,3,button,99.276,14,17,108.906
2015,3,stevens,102.091,15,19,110.971
2015,3,merhi,102.842,16,20,110.977
2015,3,max_verstappen,98.393,17,13,106.261
2015,3,maldonado,98.134,18,11,108.58
2015,3,kvyat,98.209,19,12,107.704
2015,3,hulkenberg,99.216,20,16,107.171
2015,4,hamilton,92.571,1,1,100.102
2015,4,raikkonen,93.227,2,4,100.161
2015,4,rosberg,93.129,3,3,100.208
2015,4,bottas,93.381,4,5,100.856
2015,4,vettel,92.982,5,2,100.874
2015,4,ricciardo,93.832,6,7,101.185
2015,4,grosjean,94.484,7,10,101.589
2015,4,perez,94.704,8,11,101.917
2015,4,kvyat,95.8,9,17,102.046
2015,4,massa,93.744,10,6,102.155
2015,4,alonso,95.039,11,14,102.226
2015,4,nasr,94.737,12,12,102.246
2015,4,hulkenberg,94.45,13,8,102.378
2015,4,ericsson,95.034,14,13,102.399
2015,4,maldonado,95.677,15,16,103.057
2015,4,stevens,98.713,16,18,105.271
2015,4,merhi,99.722,17,19,106.067
2015,4,max_verstappen,95.103,18,15,104.471
2015,4,sainz,94.462,19,9,103.41
2015,5,rosberg,84.681,1,1,92.008
2015,5,hamilton,84.948,2,2,92.274
2015,5,vettel,85.458,3,3,92.695
2015,5,bottas,85.694,4,4,92.906
2015,5,raikkonen,86.414,5,7,92.918
2015,5,massa,86.757,6,9,93.24
2015,5,ricciardo,86.77,7,10,93.86
2015,5,grosjean,87.375,8,11,94.316
2015,5,sainz,86.136,9,5,94.404
2015,5,kvyat,86.629,10,8,94.427
2015,5,max_verstappen,86.249,11,6,94.444
2015,5,nasr,88.005,12,15,94.631
2015,5,perez,88.442,13,18,94.768
2015,5,ericsson,88.112,14,16,94.778
2015,5,hulkenberg,88.365,15,17,94.787
2015,5,button,87.854,16,14,94.8
2015,5,stevens,91.2,17,19,97.702
2015,5,merhi,92.038,18,20,98.374
2015,5,maldonado,87.45,19,12,95.879
2015,5,alonso,87.76,20,13,96.0
2015,6,rosberg,75.44,1,2,84.082
2015,6,vettel,75.849,2,3,84.14
2015,6,hamilton,75.098,3,1,84.16
2015,6,kvyat,76.182,4,5,84.236
2015,6,ricciardo,76.041,5,4,84.257
2015,6,raikkonen,76.427,6,6,84.266
2015,6,perez,76.808,7,7,84.275
2015,6,button,77.093,8,12,84.288
2015,6,nasr,78.101,9,16,84.385
2015,6,sainz,76.931,10,8,84.404
2015,6,hulkenberg,77.193,11,13,84.419
2015,6,grosjean,77.007,12,11,84.447
2015,6,ericsson,78.513,13,18,84.482
2015,6,bottas,78.434,14,17,84.669
2015,6,massa,77.278,15,14,85.553
2015,6,merhi,80.904,16,20,86.922
2015,6,stevens,80.655,17,19,86.971
2015,6,max_verstappen,76.957,18,10,82.306
2015,6,alonso,86.632,19,15,82.54
2015,6,maldonado,76.946,20,9,85.212
2015,7,hamilton,74.393,1,1,78.759
