season,round,lap,driver,position,time
2014,1,8,vergne,8,1:35.798
2014,1,8,kvyat,9,1:35.862
2014,1,8,button,10,1:36.079
2014,1,8,sutil,11,1:37.798
2014,1,8,maldonado,12,1:38.909
2014,1,8,ericsson,13,1:40.867
2014,1,8,chilton,14,1:38.996
2014,1,8,grosjean,15,1:37.993
2014,1,8,perez,16,1:36.996
2014,1,8,gutierrez,17,1:36.122
2014,1,8,jules_bianchi,18,2:08.732
2014,1,9,rosberg,1,1:34.217
2014,1,9,ricciardo,2,1:35.045
2014,1,9,kevin_magnussen,3,1:35.740
2014,1,9,hulkenberg,4,1:36.651
2014,1,9,alonso,5,1:36.405
2014,1,9,bottas,6,1:35.732
2014,1,9,raikkonen,7,1:36.648
2014,1,9,vergne,8,1:36.093
2014,1,9,kvyat,9,1:35.691
2014,1,9,button,10,1:35.979
2014,1,9,sutil,11,1:38.062
2014,1,9,maldonado,12,1:38.563
2014,1,9,ericsson,13,1:39.780
2014,1,9,grosjean,14,1:38.721
2014,1,9,chilton,15,1:41.036
2014,1,9,perez,16,1:36.422
2014,1,9,gutierrez,17,1:35.930
2014,1,9,jules_bianchi,18,1:41.693
2014,1,10,rosberg,1,1:34.364
2014,1,10,ricciardo,2,1:35.060
2014,1,10,kevin_magnussen,3,1:35.555
2014,1,10,hulkenberg,4,1:36.728
2014,1,10,alonso,5,1:36.992
2014,1,10,raikkonen,6,1:36.444
2014,1,10,vergne,7,1:36.359
2014,1,10,kvyat,8,1:36.457
2014,1,10,button,9,1:36.655
2014,1,10,sutil,10,1:38.683
2014,1,10,maldonado,11,1:38.631
2014,1,10,ericsson,12,1:40.204
2014,1,10,grosjean,13,1:37.981
2014,1,10,chilton,14,1:39.377
2014,1,10,perez,15,1:36.384
2014,1,10,bottas,16,2:36.286
2014,1,10,gutierrez,17,1:37.507
2014,1,10,jules_bianchi,18,1:38.958
2014,1,11,rosberg,1,1:35.185
2014,1,11,ricciardo,2,1:36.339
2014,1,11,kevin_magnussen,3,1:36.194
2014,1,11,hulkenberg,4,1:36.877
2014,1,11,alonso,5,1:37.667
2014,1,11,raikkonen,6,1:37.253
2014,1,11,vergne,7,1:37.041
2014,1,11,kvyat,8,1:37.299
2014,1,11,button,9,1:57.843
2014,1,11,sutil,10,1:48.015
2014,1,11,maldonado,11,1:47.540
2014,1,11,ericsson,12,1:45.911
2014,1,11,grosjean,13,1:47.480
2014,1,11,chilton,14,1:54.168
2014,1,11,gutierrez,15,1:54.083
2014,1,11,bottas,16,2:02.855
2014,1,11,perez,17,2:09.463
2014,1,11,jules_bianchi,18,1:38.303
2014,1,12,rosberg,1,2:14.269
2014,1,12,ricciardo,2,2:15.227
2014,1,12,kevin_magnussen,3,2:16.538
2014,1,12,hulkenberg,4,2:16.397
2014,1,12,alonso,5,2:19.525
2014,1,12,button,6,2:00.840
2014,1,12,vergne,7,2:23.494
2014,1,12,raikkonen,8,2:25.964
2014,1,12,kvyat,9,2:30.844
2014,1,12,sutil,10,1:58.590
2014,1,12,maldonado,11,1:58.116
2014,1,12,ericsson,12,1:57.689
2014,1,12,grosjean,13,1:58.430
2014,1,12,chilton,14,2:03.376
2014,1,12,gutierrez,15,1:58.875
2014,1,12,bottas,16,1:58.201
2014,1,12,perez,17,2:00.708
2014,1,12,jules_bianchi,18,1:39.364
2014,1,13,rosberg,1,2:29.953
2014,1,13,ricciardo,2,2:22.548
2014,1,13,kevin_magnussen,3,2:15.460
2014,1,13,hulkenberg,4,2:10.616
2014,1,13,alonso,5,2:08.277
2014,1,13,button,6,2:01.893
2014,1,13,vergne,7,2:03.534
2014,1,13,raikkonen,8,2:06.011
2014,1,13,sutil,9,1:56.199
2014,1,13,kvyat,10,2:01.904
2014,1,13,maldonado,11,1:55.651
2014,1,13,ericsson,12,1:54.285
2014,1,13,grosjean,13,1:48.422
2014,1,13,chilton,14,1:48.670
2014,1,13,gutierrez,15,1:41.993
2014,1,13,bottas,16,1:40.338
2014,1,13,perez,17,1:42.694
2014,1,13,jules_bianchi,18,1:38.687
2014,1,14,rosberg,1,2:21.208
2014,1,14,ricciardo,2,2:20.721
2014,1,14,kevin_magnussen,3,2:20.764
2014,1,14,hulkenberg,4,2:21.039
2014,1,14,alonso,5,2:20.389
2014,1,14,button,6,2:20.580
2014,1,14,vergne,7,2:19.749
2014,1,14,raikkonen,8,2:16.028
2014,1,14,sutil,9,2:16.327
2014,1,14,kvyat,10,2:15.891
2014,1,14,maldonado,11,2:15.353
2014,1,14,ericsson,12,2:15.290
2014,1,14,grosjean,13,2:14.470
2014,1,14,chilton,14,2:00.969
2014,1,14,gutierrez,15,1:57.263
2014,1,14,bottas,16,1:56.976
2014,1,14,perez,17,1:52.117
2014,1,14,jules_bianchi,18,1:38.700
2014,1,15,rosberg,1,2:14.486
2014,1,15,ricciardo,2,2:14.525
2014,1,15,kevin_magnussen,3,2:14.334
2014,1,15,hulkenberg,4,2:13.697
2014,1,15,alonso,5,2:12.487
2014,1,15,button,6,2:12.402
2014,1,15,vergne,7,2:12.012
2014,1,15,raikkonen,8,2:11.894
2014,1,15,sutil,9,2:11.400
2014,1,15,kvyat,10,2:11.057
2014,1,15,maldonado,11,2:11.297
2014,1,15,ericsson,12,2:11.036
2014,1,15,grosjean,13,2:10.275
2014,1,15,chilton,14,2:09.623
2014,1,15,gutierrez,15,2:07.375
2014,1,15,bottas,16,2:06.691
2014,1,15,perez,17,2:06.323
2014,1,15,jules_bianchi,18,1:39.007
2014,1,16,rosberg,1,1:33.976
2014,1,16,ricciardo,2,1:35.415
2014,1,16,kevin_magnussen,3,1:35.433
2014,1,16,hulkenberg,4,1:36.462
2014,1,16,alonso,5,1:36.473
2014,1,16,button,6,1:36.184
2014,1,16,vergne,7,1:36.656
2014,1,16,raikkonen,8,1:36.707
2014,1,16,sutil,9,1:37.609
2014,1,16,kvyat,10,1:37.635
2014,1,16,maldonado,11,1:38.171
2014,1,16,grosjean,12,1:39.019
2014,1,16,ericsson,13,1:40.619
2014,1,16,bottas,14,1:38.551
2014,1,16,perez,15,1:38.259
2014,1,16,gutierrez,16,1:40.635
2014,1,16,chilton,17,1:43.028
2014,1,16,jules_bianchi,18,1:40.027
2014,1,17,rosberg,1,1:34.040
2014,1,17,ricciardo,2,1:34.066
2014,1,17,kevin_magnussen,3,1:34.139
2014,1,17,hulkenberg,4,1:34.943
2014,1,17,alonso,5,1:35.451
2014,1,17,button,6,1:35.402
2014,1,17,vergne,7,1:35.525
2014,1,17,raikkonen,8,1:35.480
2014,1,17,kvyat,9,1:36.322
2014,1,17,sutil,10,1:37.588
2014,1,17,maldonado,11,1:37.332
2014,1,17,bottas,12,1:35.051
2014,1,17,grosjean,13,1:37.693
2014,1,17,perez,14,1:35.913
2014,1,17,ericsson,15,1:39.917
2014,1,17,gutierrez,16,1:38.371
2014,1,17,chilton,17,1:38.987
2014,1,17,jules_bianchi,18,1:38.274
2014,1,18,rosberg,1,1:33.195
2014,1,18,ricciardo,2,1:33.883
2014,1,18,kevin_magnussen,3,1:34.035
2014,1,18,hulkenberg,4,1:35.345
2014,1,18,alonso,5,1:34.952
2014,1,18,button,6,1:35.181
2014,1,18,vergne,7,1:35.413
2014,1,18,raikkonen,8,1:35.380
2014,1,18,kvyat,9,1:35.569
2014,1,18,sutil,10,1:37.369
2014,1,18,bottas,11,1:35.903
2014,1,18,maldonado,12,1:38.508
2014,1,18,grosjean,13,1:36.931
2014,1,18,perez,14,1:36.934
2014,1,18,ericsson,15,1:38.329
2014,1,18,gutierrez,16,1:38.270
2014,1,18,chilton,17,1:38.560
2014,1,18,jules_bianchi,18,1:37.503
2014,1,19,rosberg,1,1:32.478
2014,1,19,ricciardo,2,1:33.969
2014,1,19,kevin_magnussen,3,1:34.654
2014,1,19,hulkenberg,4,1:35.388
2014,1,19,alonso,5,1:35.453
2014,1,19,button,6,1:35.194
2014,1,19,vergne,7,1:35.054
2014,1,19,raikkonen,8,1:35.338
2014,1,19,kvyat,9,1:35.367
2014,1,19,bottas,10,1:35.582
2014,1,19,sutil,11,1:37.432
2014,1,19,maldonado,12,1:37.856
2014,1,19,grosjean,13,1:38.262
2014,1,19,perez,14,1:38.028
2014,1,19,gutierrez,15,1:38.815
2014,1,19,ericsson,16,1:40.171
2014,1,19,chilton,17,1:38.659
2014,1,19,jules_bianchi,18,1:37.728
2014,1,20,rosberg,1,1:33.331
2014,1,20,ricciardo,2,1:34.140
2014,1,20,kevin_magnussen,3,1:34.867
2014,1,20,hulkenberg,4,1:34.903
2014,1,20,alonso,5,1:35.143
2014,1,20,button,6,1:35.341
2014,1,20,vergne,7,1:35.074
2014,1,20,raikkonen,8,1:34.756
2014,1,20,kvyat,9,1:35.265
2014,1,20,bottas,10,1:35.406
2014,1,20,sutil,11,1:37.126
2014,1,20,maldonado,12,1:37.453
2014,1,20,perez,13,1:37.087
2014,1,20,grosjean,14,1:38.078
2014,1,20,gutierrez,15,1:37.180
2014,1,20,ericsson,16,1:38.815
2014,1,20,chilton,17,1:38.770
2014,1,20,jules_bianchi,18,1:58.244
2014,1,21,rosberg,1,1:32.839
2014,1,21,ricciardo,2,1:33.816
2014,1,21,kevin_magnussen,3,1:34.374
2014,1,21,hulkenberg,4,1:34.688
2014,1,21,alonso,5,1:34.612
2014,1,21,button,6,1:34.865
2014,1,21,vergne,7,1:34.857
2014,1,21,raikkonen,8,1:34.927
2014,1,21,kvyat,9,1:35.423
2014,1,21,bottas,10,1:34.846
2014,1,21,sutil,11,1:36.836
2014,1,21,perez,12,1:35.451
2014,1,21,maldonado,13,1:38.745
2014,1,21,grosjean,14,1:37.540
2014,1,21,gutierrez,15,1:36.869
2014,1,21,ericsson,16,1:39.108
2014,1,21,chilton,17,1:38.863
2014,1,21,jules_bianchi,18,1:44.076
2014,1,22,rosberg,1,1:33.144
2014,1,22,ricciardo,2,1:33.826
2014,1,22,kevin_magnussen,3,1:34.131
2014,1,22,hulkenberg,4,1:35.161
2014,1,22,alonso,5,1:35.050
2014,1,22,button,6,1:34.907
2014,1,22,vergne,7,1:34.754
2014,1,22,raikkonen,8,1:34.933
2014,1,22,kvyat,9,1:35.606
2014,1,22,bottas,10,1:34.741
2014,1,22,sutil,11,1:36.984
2014,1,22,perez,12,1:35.138
2014,1,22,maldonado,13,1:38.584
2014,1,22,grosjean,14,1:38.411
2014,1,22,gutierrez,15,1:37.752
2014,1,22,ericsson,16,1:38.838
2014,1,22,chilton,17,1:38.960
2014,1,22,jules_bianchi,18,1:37.109
2014,1,23,rosberg,1,1:33.213
2014,1,23,ricciardo,2,1:34.258
2014,1,23,kevin_magnussen,3,1:34.551
2014,1,23,hulkenberg,4,1:35.209
2014,1,23,alonso,5,1:35.300
2014,1,23,button,6,1:35.413
2014,1,23,vergne,7,1:35.461
2014,1,23,raikkonen,8,1:35.305
2014,1,23,kvyat,9,1:36.361
2014,1,23,bottas,10,1:34.785
2014,1,23,sutil,11,1:36.519
2014,1,23,perez,12,1:36.156
2014,1,23,grosjean,13,1:36.573
2014,1,23,maldonado,14,1:39.261
2014,1,23,gutierrez,15,1:37.459
2014,1,23,chilton,16,1:40.026
2014,1,23,ericsson,17,2:01.336
2014,1,23,jules_bianchi,18,1:36.220
2014,1,24,rosberg,1,1:33.936
2014,1,24,ricciardo,2,1:34.804
2014,1,24,kevin_magnussen,3,1:34.439
2014,1,24,hulkenberg,4,1:35.457
2014,1,24,alonso,5,1:35.292
2014,1,24,button,6,1:35.385
2014,1,24,vergne,7,1:35.383
2014,1,24,raikkonen,8,1:35.335
2014,1,24,kvyat,9,1:35.729
2014,1,24,bottas,10,1:35.211
2014,1,24,sutil,11,1:36.750
2014,1,24,perez,12,1:36.704
2014,1,24,grosjean,13,1:36.897
2014,1,24,maldonado,14,1:37.444
2014,1,24,gutierrez,15,1:38.394
2014,1,24,chilton,16,1:59.399
2014,1,24,ericsson,17,1:43.365
2014,1,24,jules_bianchi,18,1:36.806
2014,1,25,rosberg,1,1:33.941
2014,1,25,ricciardo,2,1:35.277
2014,1,25,kevin_magnussen,3,1:35.368
2014,1,25,hulkenberg,4,1:35.755
2014,1,25,alonso,5,1:36.059
2014,1,25,button,6,1:35.763
2014,1,25,vergne,7,1:35.677
2014,1,25,raikkonen,8,1:37.658
2014,1,25,bottas,9,1:35.497
2014,1,25,kvyat,10,1:36.861
2014,1,25,sutil,11,1:37.213
2014,1,25,perez,12,1:37.106
2014,1,25,grosjean,13,1:36.802
2014,1,25,maldonado,14,1:37.659
2014,1,25,gutierrez,15,1:36.623
2014,1,25,ericsson,16,1:37.432
2014,1,25,chilton,17,1:43.605
2014,1,25,jules_bianchi,18,1:36.484
2014,1,26,rosberg,1,1:34.539
2014,1,26,ricciardo,2,1:34.873
2014,1,26,kevin_magnussen,3,1:35.860
2014,1,26,hulkenberg,4,1:35.759
2014,1,26,alonso,5,1:35.797
2014,1,26,button,6,1:35.856
2014,1,26,vergne,7,1:36.250
2014,1,26,raikkonen,8,1:36.037
2014,1,26,bottas,9,1:34.981
2014,1,26,kvyat,10,1:35.848
2014,1,26,sutil,11,1:36.567
2014,1,26,perez,12,1:36.647
2014,1,26,grosjean,13,1:36.890
2014,1,26,maldonado,14,1:37.559
2014,1,26,gutierrez,15,1:36.890
2014,1,26,ericsson,16,1:37.064
2014,1,26,chilton,17,1:38.261
2014,1,26,jules_bianchi,18,1:38.302
2014,1,27,rosberg,1,1:35.588
2014,1,27,ricciardo,2,1:35.099
2014,1,27,kevin_magnussen,3,1:36.614
2014,1,27,hulkenberg,4,1:35.947
2014,1,27,alonso,5,1:35.783
2014,1,27,button,6,1:35.959
2014,1,27,vergne,7,1:35.971
2014,1,27,raikkonen,8,1:35.900
2014,1,27,bottas,9,1:35.330
2014,1,27,kvyat,10,1:35.660
2014,1,27,sutil,11,1:37.286
2014,1,27,perez,12,1:37.642
2014,1,27,grosjean,13,1:36.918
2014,1,27,maldonado,14,1:38.651
2014,1,27,gutierrez,15,1:37.950
2014,1,27,ericsson,16,1:39.333
2014,1,27,chilton,17,1:37.256
2014,1,27,jules_bianchi,18,1:37.692
2014,1,28,rosberg,1,1:35.416
2014,1,28,ricciardo,2,1:34.968
2014,1,28,kevin_magnussen,3,1:36.231
2014,1,28,hulkenberg,4,1:35.540
2014,1,28,alonso,5,1:35.647
2014,1,28,button,6,1:35.908
2014,1,28,vergne,7,1:36.086
2014,1,28,raikkonen,8,1:36.090
2014,1,28,bottas,9,1:35.399
2014,1,28,kvyat,10,1:36.095
2014,1,28,sutil,11,1:36.954
2014,1,28,perez,12,1:36.786
2014,1,28,gutierrez,13,1:37.272
2014,1,28,maldonado,14,1:40.524
2014,1,28,grosjean,15,1:55.731
2014,1,28,chilton,16,1:38.225
2014,1,28,jules_bianchi,17,1:38.224
2014,1,29,rosberg,1,1:34.069
2014,1,29,ricciardo,2,1:35.113
2014,1,29,kevin_magnussen,3,1:36.264
2014,1,29,hulkenberg,4,1:35.901
2014,1,29,alonso,5,1:36.275
2014,1,29,button,6,1:36.014
2014,1,29,vergne,7,1:36.011
2014,1,29,raikkonen,8,1:35.268
2014,1,29,bottas,9,1:35.785
2014,1,29,kvyat,10,1:36.076
2014,1,29,sutil,11,1:36.646
2014,1,29,perez,12,1:37.248
2014,1,29,gutierrez,13,1:37.230
2014,1,29,grosjean,14,1:42.283
2014,1,29,maldonado,15,1:58.825
2014,1,29,chilton,16,1:37.794
2014,1,29,jules_bianchi,17,1:36.819
2014,1,30,rosberg,1,1:34.946
2014,1,30,ricciardo,2,1:35.976
2014,1,30,kevin_magnussen,3,1:35.727
2014,1,30,hulkenberg,4,1:35.971
2014,1,30,alonso,5,1:35.831
2014,1,30,button,6,1:35.871
2014,1,30,vergne,7,1:35.899
2014,1,30,raikkonen,8,1:35.497
2014,1,30,bottas,9,1:35.913
2014,1,30,kvyat,10,1:35.742
2014,1,30,sutil,11,1:36.871
2014,1,30,perez,12,1:36.885
2014,1,30,grosjean,13,1:34.766
2014,1,30,gutierrez,14,1:57.089
2014,1,30,chilton,15,1:38.872
2014,1,30,jules_bianchi,16,1:36.308
2014,1,31,rosberg,1,1:34.272
2014,1,31,ricciardo,2,1:35.448
2014,1,31,kevin_magnussen,3,1:35.505
2014,1,31,hulkenberg,4,1:35.993
2014,1,31,alonso,5,1:35.374
2014,1,31,button,6,1:35.908
2014,1,31,vergne,7,1:35.730
2014,1,31,raikkonen,8,1:35.811
2014,1,31,bottas,9,1:35.640
2014,1,31,kvyat,10,1:35.522
2014,1,31,sutil,11,1:37.278
2014,1,31,perez,12,1:36.944
2014,1,31,grosjean,13,1:35.922
2014,1,31,gutierrez,14,1:44.522
2014,1,31,chilton,15,1:38.289
2014,1,31,jules_bianchi,16,1:36.663
2014,1,32,rosberg,1,1:35.305
2014,1,32,ricciardo,2,1:36.539
2014,1,32,kevin_magnussen,3,1:35.626
2014,1,32,hulkenberg,4,1:36.077
2014,1,32,alonso,5,1:36.190
2014,1,32,vergne,6,1:35.943
2014,1,32,raikkonen,7,1:36.080
2014,1,32,bottas,8,1:35.372
2014,1,32,kvyat,9,1:35.448
2014,1,32,button,10,1:53.971
2014,1,32,sutil,11,1:36.977
2014,1,32,perez,12,1:55.468
2014,1,32,grosjean,13,1:35.137
2014,1,32,gutierrez,14,1:34.656
2014,1,32,chilton,15,1:37.375
2014,1,32,jules_bianchi,16,1:37.308
2014,1,33,rosberg,1,1:34.088
2014,1,33,ricciardo,2,1:35.030
2014,1,33,kevin_magnussen,3,1:35.200
2014,1,33,alonso,4,1:35.949
2014,1,33,raikkonen,5,1:36.105
2014,1,33,bottas,6,1:35.169
2014,1,33,kvyat,7,1:35.503
2014,1,33,hulkenberg,8,1:55.326
2014,1,33,vergne,9,1:55.005
2014,1,33,button,10,1:39.162
2014,1,33,sutil,11,1:37.264
2014,1,33,perez,12,1:40.200
2014,1,33,grosjean,13,1:35.482
2014,1,33,gutierrez,14,1:34.202
2014,1,33,chilton,15,1:38.597
2014,1,33,jules_bianchi,16,1:37.133
2014,1,34,rosberg,1,1:33.979
2014,1,34,ricciardo,2,1:35.646
2014,1,34,kevin_magnussen,3,1:34.904
2014,1,34,alonso,4,1:34.077
2014,1,34,raikkonen,5,1:35.090
2014,1,34,bottas,6,1:34.638
2014,1,34,kvyat,7,1:35.192
2014,1,34,button,8,1:33.515
2014,1,34,hulkenberg,9,1:39.444
2014,1,34,vergne,10,1:40.416
2014,1,34,sutil,11,1:37.544
2014,1,34,perez,12,1:33.366
