season,round,grid,circuit_id,driver,fastest_time,stage,q_delta
2014,5,2,catalunya,rosberg,85.4,q3,0.16800000000000637
2014,5,20,catalunya,ericsson,90.312,q1,5.079999999999998
2014,5,21,catalunya,kobayashi,90.375,q1,5.143000000000001
2014,5,22,catalunya,maldonado,,,0.0
2014,5,3,catalunya,ricciardo,86.285,q3,0.0
2014,5,4,catalunya,bottas,86.632,q3,5.490000000000009
2014,5,5,catalunya,grosjean,86.96,q3,5.817999999999998
2014,5,6,catalunya,raikkonen,87.104,q3,5.962000000000003
2014,5,7,catalunya,alonso,87.14,q3,5.998000000000005
2014,5,8,catalunya,button,87.335,q3,6.192999999999998
2014,5,9,catalunya,massa,87.402,q3,6.260000000000005
2014,6,1,monaco,rosberg,75.989,q3,0.0
2014,6,10,monaco,perez,78.327,q3,2.337999999999994
2014,6,11,monaco,hulkenberg,77.846,q2,1.8569999999999993
2014,6,12,monaco,button,77.988,q2,1.9989999999999952
2014,6,13,monaco,bottas,78.082,q2,2.0929999999999893
2014,6,14,monaco,grosjean,78.196,q2,2.2069999999999936
2014,6,15,monaco,maldonado,78.356,q2,2.3669999999999902
2014,6,16,monaco,massa,78.209,q1,2.219999999999999
2014,6,17,monaco,gutierrez,78.741,q1,2.7519999999999953
2014,6,18,monaco,sutil,78.745,q1,2.7560000000000002
2014,6,19,monaco,jules_bianchi,79.332,q1,3.3429999999999893
2014,6,2,monaco,hamilton,76.048,q3,0.0589999999999975
2014,6,20,monaco,chilton,79.928,q1,3.938999999999993
2014,6,21,monaco,kobayashi,80.133,q1,4.143999999999991
2014,6,22,monaco,ericsson,81.732,q1,5.742999999999995
2014,6,3,monaco,ricciardo,76.384,q3,0.394999999999996
2014,6,4,monaco,vettel,76.547,q3,0.5579999999999927
2014,6,5,monaco,alonso,76.686,q3,0.6970000000000027
2014,6,6,monaco,raikkonen,77.389,q3,1.3999999999999915
2014,6,7,monaco,vergne,77.54,q3,1.551000000000002
2014,6,8,monaco,kevin_magnussen,77.555,q3,1.5660000000000025
2014,6,9,monaco,kvyat,78.09,q3,2.100999999999999
2014,7,1,villeneuve,rosberg,74.874,q3,0.0
2014,7,10,villeneuve,raikkonen,76.214,q3,1.3400000000000034
2014,7,11,villeneuve,hulkenberg,76.3,q2,1.426000000000002
2014,7,12,villeneuve,kevin_magnussen,76.31,q2,1.436000000000007
2014,7,13,villeneuve,perez,76.472,q2,1.597999999999999
